i	HeapUsed
0	113765832
10	113010720
20	113064320
30	113429136
40	113561912
50	113774936
60	113889184
70	114246824
80	114417264
90	114547512
100	114856640
110	115019976
120	115091856
130	115321320
140	115367264
150	115795784
160	115955504
170	116112568
180	116354096
190	116376064
200	116769456
210	116812952
220	117116944
230	117293960
240	117334752
250	117699488
260	118036032
270	118151416
280	118242632
290	118337696
300	118792192
310	119021712
320	119184840
330	119378952
340	119490424
350	119803808
360	119868704
370	120159696
380	120364568
390	120491888
400	120791056
410	120911904
420	121077144
430	121278304
440	121288080
450	121771368
460	121918352
470	122063560
480	122329936
490	122451336
500	122720304
510	123008144
520	123358368
530	123458160
540	123601704
550	123904504
560	124037680
570	124258808
580	124431016
590	124715312
600	124841352
610	124906312
620	125224216
630	125366624
640	125633072
650	125681336
660	126046736
670	126202112
680	126297656
690	126493704
700	126795328
710	126940560
720	127075456
730	127189056
740	127655032
750	127839760
760	128037488
770	128231936
780	128291952
790	128423928
800	128673672
810	128952776
820	129177728
830	129222704
840	129416960
850	129711344
860	129993712
870	130025200
880	130091064
890	130543888
900	130714608
910	130885984
920	131146584
930	131292632
940	131422072
950	131548184
960	131666384
970	132047360
980	132283584
990	132454936
